Shop,Location,"Crowdfunding
Platform","Year &
Period
","Weeks 
Duration",Backers,"Avg.
Pledge ≈","Threshold
& Goal","Total
Funded
($ € %)"
"<a href=""https://www.abfuellerei-basel.ch"" target=""_blank"">Abfüllerei Basel

<img src=""https://www.bepakt.com/images/logo_abfuellerei_basel_1000.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Basel","<a href=""https://wemakeit.com/projects/basel-goes-unverpackt"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2016-2017

1Dec-18Jan",7,450,"89 CHF
(≈ €77)","38’000 CHF
(≈ €35,500)","40’196 CHF
(≈ €37,800)"
"<a href=""http://www.baselunverpackt.ch"" target=""_blank"">Basel Unverpackt

<img src=""https://www.bepakt.com/images/logo_basel_unverpackt_1000.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Basel","<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdd--HS2wM8BQAvi5IvmhiE3xX_JLi2zUXfdw69UpH3Zsu_lw/viewform"" target=""_blank"">Self-managed campaign</a>",2017->,,,,Variable,Still Running
"<a href=""http://naturellementvrac.ch/"" target=""_blank"">Naturellement Vrac

<img src=""https://www.bepakt.com/images/logo_naturellement_vrac_1000.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Châtel-St-Denis","<a href=""https://wemakeit.com/projects/epicerie-naturellement-vrac"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2016

30Nov-30Dec",4,363,"CHF 109
(≈ €94)
","Goal: 40'000 CHF
(€46,651)","49’641 CHF
(€46,651)

112% of Goal"
"<a href=""https://www.facebook.com/unverpacktnuernberg/"" target=""_blank"">ZeroHero

<img src=""https://www.bepakt.com/images/logo_zerohero_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Nürnberg
","<a href=""https://www.startnext.com/zerohero"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

28Nov2016-3Jan2017",5,439,€59,"Goal: €22,000","€26,050

118% of Goal
"
"<a href=""http://www.jeninchen.de/"" target=""_blank"">Jeninchen

<img src=""https://www.bepakt.com/images/logo_jeninchen_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Jena","<a href=""http://www.visionbakery.com/jeninchen"" target=""_blank"">Vision Bakery

<img src=""https://www.bepakt.com/images/logo_cf_visionbakery_320x160.png"" width=80 height=40></a>","2016

13Nov2016-8Jan2017",7,438,€46,"Goal: €16,785","€20,241

121% of Goal
"
"<a href=""https://www.facebook.com/unverpacktsaarbruecken/"" target=""_blank"">Unverpackt Saarbrücken

<img src=""https://www.bepakt.com/images/logo_unverpacktsaarbruecken_1000.png"" height=80 width=80></a>
","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Saarbrücken
","<a href=""http://www.visionbakery.com/unverpackt-saarbruecken"" target=""_blank"">Vision Bakery

<img src=""https://www.bepakt.com/images/logo_cf_visionbakery_320x160.png"" width=80 height=40></a>","2016

8Nov2016-2Jan2017",8.5,336,€62,"Goal: €20,000","€20,672 

103% of Goal"
"<a href=""https://www.facebook.com/UnverpacktKonstanz/"" target=""_blank""> Unverpackt Konstanz (Back To Nature)

<img src=""https://bepakt.com/images/logo_unverpackt_konstanz.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Konstanz
","<a href=""https://www.indiegogo.com/projects/back-to-nature-unverpackt-konstanz"" target=""_blank"">Indiegogo

<img src=""https://www.bepakt.com/images/logo_cf_indiegogo_320x160.png"" width=80 height=40></a>","2016
30Nov-1Feb(?)2017",8,31,€73,"Goal: $30,000
(flexible)","$2,265

<span style=""color:red"">8% of Goal</span>"
"<a href=""http://www.aupetitpoids.be"" target=""_blank"">Au Petit Poids

<img src=""https://www.bepakt.com/images/logo_au_petit_poids_1000.png"" height=80 width=80></a>","Belgium

<img src=""https://www.bepakt.com/images/flags/belgium.gif"" width=30 height=18>

Braine-le-Château","<a href=""https://www.ulule.com/petit-poids/"" target=""_blank"">Ulule

<img src=""https://www.bepakt.com/images/logo_cf_ulule_320x160.png"" width=80 height=40></a>","2016

17Oct-28Nov",6,143,€38,"Goal: €2,500 ","€5,504

220% of Goal "
"<a href=""http://www.epicerieosillo.com"" target=""_blank"">O'Sillo

<img src=""https://www.bepakt.com/images/logo_osillo_1000.png"" height=80 width=80></a>","Belgium

<img src=""https://www.bepakt.com/images/flags/belgium.gif"" width=30 height=18>

Leuze-en-Hainaut","<a href=""https://www.kisskissbankbank.com/o-sillo-l-epicerie-0-dechet-a-leuze-en-hainaut"" target=""_blank"">Kiss Kiss Bank Bank

<img src=""https://www.bepakt.com/images/logo_cf_kisskissbankbank_320x160.png"" width=80 height=40></a>","2016

26Sept-26Oct",4.5,76,€38,"Threshold: Flexible

Goal: €2,500","€2,885

115% of Goal"
"<a href=""https://www.startnext.com/glaskiste"" target=""_blank"">Glaskiste

<img src=""https://www.bepakt.com/images/logo_glaskiste_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Freiburg","<a href=""https://www.startnext.com/glaskiste"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

24Sep-4Dec",10,394,€53,"Goal: €15,000","€21,053

140% of Goal
"
"<a href=""https://www.facebook.com/unverpacktdarmstadt/"" target=""_blank"">Unverpackt Darmstadt

<img src=""https://www.bepakt.com/images/logo_unverpackt_darmstadt.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Darmstadt","<a href=""https://www.startnext.com/unverpackt-da"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

19Sept-27Oct",6,478,€56,"Threshold: €20,000

Goal: €30,000"," €26,900

135% of Treshold
90% of Goal"
"<a href=""https://www.stueckgut-hamburg.de"" target=""_blank"">Stückgut

<img src=""https://www.bepakt.com/images/logo_stueckgut_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Hamburg","<a href=""https://www.startnext.com/stueckgut"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

6Sep-16Oct",5.5,963,€45,"Threshold: €35,000

Goal: €45,000","€43,154 

123% of Threshold

96% of Goal
"
"<a href=""https://www.atoutvrac.com"" target=""_blank"">Atout Vrac

<img src=""https://www.bepakt.com/images/logo_atout_vrac_1000.png"" height=80 width=80></a>","Switzerland

<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" width=25 height=25>

Freiburg","<a href=""https://wemakeit.com/projects/atout-vrac"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2016

30Aug-14Oct",6.5,299,"CHF 85
(≈ €80)","Goal: CHF 25,000
(≈ €21,600)","CHF 25,520
(≈ €22,000)

127% of Goal"
"<a href=""http://www.tante-olga.de"" target=""_blank"">Tante Olga

<img src=""https://www.bepakt.com/images/logo_tanteolga_1000.png"" height=80 width=80></a>
","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Köln
","<a href=""https://www.startnext.com/tanteolga"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

1Jun-30Jun",4,928,€54,"Goal: €48,000","€49,723

104% of Goal"
"<a href=""http://www.dekabas.be"" target=""_blank"">Kabas

<img src=""https://www.bepakt.com/images/logo_kabas_1000.png"" height=80 width=80></a>","Belgium

<img src=""https://www.bepakt.com/images/flags/belgium.gif"" width=30 height=18>

Mechelen","<a href=""http://www.yeee-haaa.com/kabas-verpakkingsvrij-leven"" target=""_blank"">Indiegogo

<img src=""https://www.bepakt.com/images/logo_cf_yee-haa_320x160.png"" width=80 height=40></a>","2016

4May-30Jul",12.5,216,€48,"Goal: €10,000","€10,453

116% of Goal"
"<a href=""https://www.epicerieloco.ca"" target=""_blank"">Épicerie LOCO

<img src=""https://www.bepakt.com/images/logo_loco_1000.png"" height=80 width=80></a>","Canada

<img src=""https://www.bepakt.com/images/flags/canada.png"" width=30 height=18>

Montreal","<a href=""https://www.ulule.com/epicerie-loco/"" target=""_blank"">Ulule

<img src=""https://www.bepakt.com/images/logo_cf_ulule_320x160.png"" width=80 height=40></a>","2016

28Apr-14Jun",6.5,469,"$65 CAD
(≈ €43/$53)","Goal: $8000 CAD
(≈ €5250 / $6500)
","$30,416 CAD
(≈ €20,000 / $24,600)

380% of Goal"
"<a href=""http://www.raalab.com"" target=""_blank"">Råvarene

<img src=""https://www.bepakt.com/images/logo_ravarene_1000.png"" height=80 width=80></a>","Norway

<img src=""https://www.bepakt.com/images/flags/norway.gif"" width=30 height=18>

Bergen (Hordaland)","<a href=""https://www.kickstarter.com/projects/697158909/ravarene-your-zero-waste-colonial"" target=""_blank"">Kickstarter

<img src=""https://www.bepakt.com/images/logo_cf_kickstarter_320x160.png"" width=80 height=40></a>","2016

12Apr-4May
",8,330,€77,"Goal: €23,174
(210,000 NOK)","€25,396
(230,133 NOK)

110% of Goal"
"<a href=""http://www.loes-market.dk/"" target=""_blank"">LØS Market

<img src=""https://www.bepakt.com/images/logo_loes_1000.png"" height=80 width=80></a>","Denmark

<img src=""https://www.bepakt.com/images/flags/denmark.gif"" width=30 height=18>

Copenhagen","<a href=""https://www.booomerang.dk/projects/loes-market-nul-emballage-100-oekologisk-koebmandsbutik/"" target=""_blank"">Booomerang.dk

<img src=""https://www.bepakt.com/images/logo_cf_booomerang_320x160.png"" width=80 height=40></a>","2016

1Apr-22July",16,1582,€31,"Goal: €47,000
(350.000,00 DKK)
","€49,000
(365.028 DKK)

104% of Goal"
"<a href=""http://www.thefillery.com"" target=""_blank"">The Fillery

<img src=""https://www.bepakt.com/images/logo_thefillery_1000.png"" height=80 width=80></a>","United States

<img src=""https://www.bepakt.com/images/flags/united_states.gif"" width=30 height=18>

New York, Brooklyn","<a href=""https://www.kickstarter.com/projects/1264676417/the-fillery-goods-for-your-pantry-good-for-the-pla"" target=""_blank"">Kickstarter

<img src=""https://www.bepakt.com/images/logo_cf_kickstarter_320x160.png"" width=80 height=40></a>","2016

1March-2April",4,388,€44," Goal: $15,000","$17,075

114% of Goal"
"<a href=""http://ceci-et-cela.fr"" target=""_blank"">ceci et cela

<img src=""https://www.bepakt.com/images/logo_ceci_et_cela.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Toulouse","<a href=""https://www.kisskissbankbank.com/en/projects/ceci-cela-l-epicerie-zero-dechet-de-toulouse/wall"" target=""_blank"">Kiss Kiss Bank Bank

<img src=""https://www.bepakt.com/images/logo_cf_kisskissbankbank_320x160.png"" width=80 height=40></a>","2016

1Mar-15Apr",7,169,€42,"Goal: €4,850","€7,075

146% of Goal"
"<a href=""https://www.voorjebuurt.nl/campaigns/verpakkingsvrijewinkelleiden/"" target=""_blank"">De Verpakkingsvrije Winkel

<img src=""https://www.bepakt.com/images/logo_deverpakkingsvrijewinkel_1000.png"" height=80 width=80></a>","Netherlands

<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=30 height=18>

Leiden","<a href=""https://www.voorjebuurt.nl/campaigns/verpakkingsvrijewinkelleiden/"" target=""_blank"">Voor je Buurt

<img src=""https://www.bepakt.com/images/logo_cf_voorjebuurt_320x160.png"" width=80 height=40></a>","2016

24Feb-31March",5,170,€54,"Goal: €9,000","€9,177.50

102% of Goal
"
"<a href=""http://dasgramm.at"" target=""_blank"">Das Gramm

<img src=""https://www.bepakt.com/images/logo_dasgramm_1000.png"" height=80 width=80></a>","Austria

<img src=""https://www.bepakt.com/images/flags/austria.gif"" width=30 height=18>

Graz","<a href=""https://www.startnext.com/dasgramm"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

11Feb-11March",4,870,€69," Goal: €50,000","€60,270 

121% of Goal"
"<a href=""http://www.ouni.lu/"" target=""_blank"">Ouni

<img src=""https://www.bepakt.com/images/logo_ouni_1000.png"" height=80 width=80></a>","Luxembourg

<img src=""https://www.bepakt.com/images/flags/luxembourg.gif"" width=30 height=18>

Luxembourg","<a href=""http://ouni.lu/en/join/"" target=""_blank"">Self-Managed 
Co-Op
Membership Model</a>","2016

6Feb-17Jun",19,500,€360,"Goal: €180,000","€180,000

100% of Goal

(<b>and still increasing...</b>)"
"<a href=""http://www.unverpackt-trier.de"" target=""_blank"">Unverpackt Trier

<img src=""https://www.bepakt.com/images/logo_unverpackt_trier_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Trier","<a href=""https://www.startnext.com/unverpackttrier"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2016

22Jan-29Feb",5.5,836,€34,"Threshold: €20,000
 
Goal: €45,000","€28,055

140% of Threshold

62% of Goal"
"<a href=""http://www.louise-geniesst.de"" target=""_blank"">Louise Genießt
<b><span style=""color:purple"">(campaign 2)</span></b>

<img src=""https://www.bepakt.com/images/logo_louisegeniesst_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Erfurt","<a href=""http://www.visionbakery.com/louise-geniesst-erfurt"" target=""_blank"">Vision Bakery

<img src=""https://www.bepakt.com/images/logo_cf_visionbakery_320x160.png"" width=80 height=40></a>","2016

4Jan-24Jan ",3,354,€35,"Goal: €11,190","€12,527

112% of Goal"
"<a href=""http://mamiemesure.fr"" target=""_blank"">Mamie Mesure

<img src=""https://www.bepakt.com/images/logo_mamie_mesure_1000.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Vitré","<a href=""https://www.ulule.com/mamie-mesure/"" target=""_blank"">Ulule

<img src=""https://www.bepakt.com/images/logo_cf_ulule_320x160.png"" width=80 height=40></a>","2016

...-12Nov",,144,€39,"Goal: €5,500","€5,590

101% of Goal"
"<a href=""https://www.facebook.com/LOria-1093844257335021"" target=""_blank"">L'Oria

<img src=""https://www.bepakt.com/images/logo_loria_1000.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Ajaccio","<a href=""https://www.ulule.com/loria-epicerie/"" target=""_blank"">Ulule

<img src=""https://www.bepakt.com/images/logo_cf_ulule_320x160.png"" width=80 height=40></a>","2016

3Jun-23Jun",3,213,€32,"Goal: €6,785","Goal: €6,785

104% of Goal"
"<a href=""http://www.frida-bio.at/"" target=""_blank"">Frida

<img src=""https://www.bepakt.com/images/logo_frida_1000.png"" height=80 width=80></a>","Austria

<img src=""https://www.bepakt.com/images/flags/austria.gif"" width=30 height=18>

Voralberg","<a href=""https://www.startnext.com/www-frida-bio-at"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2015

27Nov2014-11Jan2015",12,112,€108,"Threshold: €12,000","€12,084

100% of Threshold"
"<a href=""https://www.facebook.com/Unverpackt-leipzig-758368387608759/"" target=""_blank"">Unverpackt Leipzig

<img src=""https://www.bepakt.com/images/logo_unverpacktleipzig_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Leipzig","<a href=""https://www.startnext.com/unverpackt-leipzig"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2015

4Nov-31Dec",4,193,,"Threshold: €17,000

Goal: €21,500","<span style=""color:red"">Threshold not reached</span>"
"<a href=""http://holis-market.at/"" target=""_blank"">Holis
<b><span style=""color:purple"">(campaign 2)</span></b>

<img src=""https://www.bepakt.com/images/logo_holis_1000.png"" height=80 width=80></a>","Austria

<img src=""https://www.bepakt.com/images/flags/austria.gif"" width=30 height=18>

Linz","<a href=""https://www.greenrocket.com/holis-market"" target=""_blank"">GREEN ROCKET

<img src=""https://www.bepakt.com/images/logo_cf_greenrocket_320x160.png"" width=80 height=40></a>","2015

5Oct2015-31Jan2016

<span style=""color:red"">[SHOP CLOSED
13-AUG-2016]</span>",16,207,€822,"Threshold: €50,000

(Limit: €175,000)

","€170,100
<b>LOANS?</b>

340% of Target"
"<a href=""http://www.boomerang.bio"" target=""_blank"">Epicerie Boomerang

<img src=""https://www.bepakt.com/images/logo_epicerie_boomerang_1000.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Mouans-Sartoux","<a href=""http://www.kisskissbankbank.com/fr/projects/la-consigne-mon-epicerie-durable"" target=""_blank"">Kiss Kiss Bank Bank

<img src=""https://www.bepakt.com/images/logo_cf_kisskissbankbank_320x160.png"" width=80 height=40></a>","2015

1Oct-14Nov",6.5,177,€41,"Goal: €7,000","€7,290

104% of Goal"
"<a href=""http://www.lola-hannover.de"" target=""_blank"">LoLa

<img src=""https://www.bepakt.com/images/logo_lola_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Hannover
","<a href=""https://www.startnext.com/lola"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2015

17Sept-1Nov",6.5,295,€65,"Goal: €15,000","€19,195

128% of Goal"
"<a href=""http://www.einzelhandel.ms"" target=""_blank"">Einzelhandel

<img src=""https://www.bepakt.com/images/logo_einzelhandel_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Münster","<a href=""https://www.startnext.com/einzelhandel-ms"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2015

11 Sept-",,,,"Goal: €30,000","<span style=""color:red"">Cancelled</span>"
"<a href=""http://biolokaal.nu"" target=""_blank"">Bio Lokaal

<img src=""https://www.bepakt.com/images/logo_biolokaal_1000.png"" height=80 width=80></a>","Netherlands

<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=30 height=18>

Coevoorden","<a href=""https://www.crowdaboutnow.nl/BioLokaal"" target=""_blank"">CrowdAboutNow

<img src=""https://www.bepakt.com/images/logo_cf_crowdaboutnow_320x160.png"" width=80 height=40></a>","2015

4Sept-30Nov",12,97,€396,"Threshold:  €25,000
<b>*loans</b>","€38,385
 
153% of Goal "
"<a href=""http://natuerlich-unverpackt.de"" target=""_blank"">Natürlich Unverpackt

<img src=""https://www.bepakt.com/images/logo_natuerlichunverpackt_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Düsseldorf","<a href=""https://www.startnext.com/natuerlich-unverpackt"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2015

14Aug-27Sept",6,414,€52,"Goal: €20,000","€21,599
 
108% of Goal"
"<a href=""http://www.louise-geniesst.de"" target=""_blank"">Louise Genießt
<b><span style=""color:purple"">(campaign 1)</span></b>

<img src=""https://www.bepakt.com/images/logo_louisegeniesst_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Erfurt","Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40>","2015

9Jun-.. .",,,,"Goal: €35,000 ","<span style=""color:red"">Goal not reached</span>"
